,Column Labels,,,
,Sep,Oct,Nov,Grand Total
Row Labels,,,,
Sum of newDeaths28DaysByDeathDate.y,0,11,11,22
Sum of newDeaths28DaysByPublishDate.y,0,8,13,21
E06000044,,,,
Portsmouth,,,,
Sum of newDeaths28DaysByDeathDate.x,3,1,8,12
Sum of newDeaths28DaysByPublishDate.x,3,1,8,12
Sum of newDeaths28DaysByDeathDate.y,3,1,12,16
Sum of newDeaths28DaysByPublishDate.y,3,1,13,17
E06000045,,,,
Southampton,,,,
Sum of newDeaths28DaysByDeathDate.x,0,6,2,8
Sum of newDeaths28DaysByPublishDate.x,0,6,2,8
Sum of newDeaths28DaysByDeathDate.y,0,6,3,9
Sum of newDeaths28DaysByPublishDate.y,0,6,4,10
E06000046,,,,
Isle of Wight,,,,
Sum of newDeaths28DaysByDeathDate.x,1,2,3,6
Sum of newDeaths28DaysByPublishDate.x,1,1,4,6
Sum of newDeaths28DaysByDeathDate.y,1,3,3,7
Sum of newDeaths28DaysByPublishDate.y,1,1,6,8
E06000047,,,,
County Durham,,,,
Sum of newDeaths28DaysByDeathDate.x,4,82,59,145
Sum of newDeaths28DaysByPublishDate.x,3,74,68,145
Sum of newDeaths28DaysByDeathDate.y,4,80,104,188
Sum of newDeaths28DaysByPublishDate.y,3,74,94,171
E06000049,,,,
Cheshire East,,,,
Sum of newDeaths28DaysByDeathDate.x,3,21,15,39
Sum of newDeaths28DaysByPublishDate.x,2,18,20,40
Sum of newDeaths28DaysByDeathDate.y,3,20,26,49
Sum of newDeaths28DaysByPublishDate.y,2,18,23,43
E06000050,,,,
Cheshire West and Chester,,,,
Sum of newDeaths28DaysByDeathDate.x,0,19,25,44
Sum of newDeaths28DaysByPublishDate.x,0,16,29,45
Sum of newDeaths28DaysByDeathDate.y,0,18,46,64
Sum of newDeaths28DaysByPublishDate.y,0,16,42,58
E06000051,,,,
Shropshire,,,,
Sum of newDeaths28DaysByDeathDate.x,2,20,20,42
Sum of newDeaths28DaysByPublishDate.x,4,19,26,49
Sum of newDeaths28DaysByDeathDate.y,2,19,28,49
Sum of newDeaths28DaysByPublishDate.y,4,19,30,53
E06000052,,,,
Cornwall and Isles of Scilly,,,,
Sum of newDeaths28DaysByDeathDate.x,1,2,5,8
Sum of newDeaths28DaysByPublishDate.x,1,1,6,8
Sum of newDeaths28DaysByDeathDate.y,1,1,14,16
Sum of newDeaths28DaysByPublishDate.y,1,1,13,15
E06000054,,,,
Wiltshire,,,,
Sum of newDeaths28DaysByDeathDate.x,1,6,5,12
Sum of newDeaths28DaysByPublishDate.x,1,5,7,13
Sum of newDeaths28DaysByDeathDate.y,1,6,12,19
Sum of newDeaths28DaysByPublishDate.y,1,5,11,17
E06000055,,,,
Bedford,,,,
Sum of newDeaths28DaysByDeathDate.x,1,6,7,14
Sum of newDeaths28DaysByPublishDate.x,2,10,9,21
Sum of newDeaths28DaysByDeathDate.y,2,6,15,23
Sum of newDeaths28DaysByPublishDate.y,2,10,15,27
E06000056,,,,
Central Bedfordshire,,,,
Sum of newDeaths28DaysByDeathDate.x,1,6,6,13
Sum of newDeaths28DaysByPublishDate.x,1,9,10,20
Sum of newDeaths28DaysByDeathDate.y,1,6,11,18
Sum of newDeaths28DaysByPublishDate.y,1,9,13,23
E06000057,,,,
Northumberland,,,,
Sum of newDeaths28DaysByDeathDate.x,15,45,26,86
Sum of newDeaths28DaysByPublishDate.x,11,50,28,89
Sum of newDeaths28DaysByDeathDate.y,15,46,41,102
Sum of newDeaths28DaysByPublishDate.y,11,50,38,99
E06000058,,,,
"Bournemouth, Christchurch and Poole",,,,
Sum of newDeaths28DaysByDeathDate.x,1,31,28,60
Sum of newDeaths28DaysByPublishDate.x,1,24,36,61
Sum of newDeaths28DaysByDeathDate.y,1,31,36,68
Sum of newDeaths28DaysByPublishDate.y,1,24,40,65
E06000059,,,,
Dorset,,,,
Sum of newDeaths28DaysByDeathDate.x,0,12,9,21
Sum of newDeaths28DaysByPublishDate.x,0,14,13,27
Sum of newDeaths28DaysByDeathDate.y,0,12,19,31
Sum of newDeaths28DaysByPublishDate.y,0,14,20,34
E08000001,,,,
Bolton,,,,
Sum of newDeaths28DaysByDeathDate.x,7,49,36,92
Sum of newDeaths28DaysByPublishDate.x,6,48,39,93
Sum of newDeaths28DaysByDeathDate.y,7,50,56,113
Sum of newDeaths28DaysByPublishDate.y,6,48,54,108
E08000002,,,,
Bury,,,,
Sum of newDeaths28DaysByDeathDate.x,4,43,39,86
Sum of newDeaths28DaysByPublishDate.x,2,36,48,86
Sum of newDeaths28DaysByDeathDate.y,4,42,53,99
Sum of newDeaths28DaysByPublishDate.y,2,36,58,96
E08000003,,,,
Manchester,,,,
Sum of newDeaths28DaysByDeathDate.x,9,77,41,127
Sum of newDeaths28DaysByPublishDate.x,9,72,48,129
Sum of newDeaths28DaysByDeathDate.y,10,89,87,186
Sum of newDeaths28DaysByPublishDate.y,9,72,74,155
E08000004,,,,
Oldham,,,,
Sum of newDeaths28DaysByDeathDate.x,3,60,58,121
Sum of newDeaths28DaysByPublishDate.x,1,45,77,123
Sum of newDeaths28DaysByDeathDate.y,3,59,82,144
Sum of newDeaths28DaysByPublishDate.y,1,45,93,139
E08000005,,,,
Rochdale,,,,
Sum of newDeaths28DaysByDeathDate.x,6,57,66,129
Sum of newDeaths28DaysByPublishDate.x,6,44,81,131
Sum of newDeaths28DaysByDeathDate.y,5,58,103,166
Sum of newDeaths28DaysByPublishDate.y,6,44,106,156
E08000006,,,,
Salford,,,,
Sum of newDeaths28DaysByDeathDate.x,21,42,44,107
Sum of newDeaths28DaysByPublishDate.x,21,38,48,107
Sum of newDeaths28DaysByDeathDate.y,21,42,62,125
Sum of newDeaths28DaysByPublishDate.y,21,38,59,118
E08000007,,,,
Stockport,,,,
Sum of newDeaths28DaysByDeathDate.x,4,36,29,69
Sum of newDeaths28DaysByPublishDate.x,5,30,38,73
Sum of newDeaths28DaysByDeathDate.y,4,35,47,86
Sum of newDeaths28DaysByPublishDate.y,5,30,50,85
E08000008,,,,
Tameside,,,,
Sum of newDeaths28DaysByDeathDate.x,52,64,49,165
Sum of newDeaths28DaysByPublishDate.x,51,59,59,169
Sum of newDeaths28DaysByDeathDate.y,52,61,63,176
Sum of newDeaths28DaysByPublishDate.y,51,59,65,175
E08000009,,,,
Trafford,,,,
Sum of newDeaths28DaysByDeathDate.x,4,32,36,72
Sum of newDeaths28DaysByPublishDate.x,2,31,39,72
Sum of newDeaths28DaysByDeathDate.y,4,29,34,67
Sum of newDeaths28DaysByPublishDate.y,2,31,42,75
E08000010,,,,
Wigan,,,,
Sum of newDeaths28DaysByDeathDate.x,2,122,93,217
Sum of newDeaths28DaysByPublishDate.x,1,106,111,218
Sum of newDeaths28DaysByDeathDate.y,2,123,131,256
Sum of newDeaths28DaysByPublishDate.y,1,106,140,247
E08000011,,,,
Knowsley,,,,
Sum of newDeaths28DaysByDeathDate.x,5,53,18,76
Sum of newDeaths28DaysByPublishDate.x,3,49,24,76
Sum of newDeaths28DaysByDeathDate.y,6,52,25,83
Sum of newDeaths28DaysByPublishDate.y,3,49,30,82
E08000012,,,,
Liverpool,,,,
Sum of newDeaths28DaysByDeathDate.x,24,187,78,289
Sum of newDeaths28DaysByPublishDate.x,18,168,105,291
Sum of newDeaths28DaysByDeathDate.y,24,187,97,308
Sum of newDeaths28DaysByPublishDate.y,18,168,121,307
E08000013,,,,
St. Helens,,,,
Sum of newDeaths28DaysByDeathDate.x,0,37,21,58
Sum of newDeaths28DaysByPublishDate.x,0,34,24,58
Sum of newDeaths28DaysByDeathDate.y,0,37,33,70
Sum of newDeaths28DaysByPublishDate.y,0,34,32,66
E08000014,,,,
Sefton,,,,
Sum of newDeaths28DaysByDeathDate.x,16,90,54,160
Sum of newDeaths28DaysByPublishDate.x,10,81,70,161
Sum of newDeaths28DaysByDeathDate.y,14,92,72,178
Sum of newDeaths28DaysByPublishDate.y,10,81,82,173
E08000015,,,,
Wirral,,,,
Sum of newDeaths28DaysByDeathDate.x,9,65,29,103
Sum of newDeaths28DaysByPublishDate.x,10,55,40,105
Sum of newDeaths28DaysByDeathDate.y,8,65,40,113
Sum of newDeaths28DaysByPublishDate.y,10,55,45,110
E08000016,,,,
Barnsley,,,,
Sum of newDeaths28DaysByDeathDate.x,0,54,58,112
Sum of newDeaths28DaysByPublishDate.x,0,46,68,114
Sum of newDeaths28DaysByDeathDate.y,0,54,102,156
Sum of newDeaths28DaysByPublishDate.y,0,46,93,139
E08000017,,,,
Doncaster,,,,
